,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,water_equiv_snowfall,station_pressure,sealevel_pressure,wind_speed,wind_direction,avg_wind_speed,datetime,year,month,day,wind_direction_cos,wind_direction_sin,TS,GR,RA,DZ,SN,FG,BR,HZ,FU,SQ,MI,BC,VC,FG+,MD
10,1,68,49,59.0,4.0,30,46.0,6.0,0.0,442,1855,0.0,29.57,30.29,14.4,110,15.0,2007-05-06,2007,5,6,-0.3420201433256687,0.9396926207859084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2,68,52,60.0,4.0,30,46.0,5.0,0.0,442,1855,0.0,29.62,30.28,13.8,100,14.5,2007-05-06,2007,5,6,-0.1736481776669303,0.984807753012208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1,83,47,65.0,10.0,41,54.0,0.0,0.0,441,1856,0.0,29.38,30.12,8.6,180,10.5,2007-05-07,2007,5,7,-1.0,1.2246467991473532e-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2,84,50,67.0,10.0,39,53.0,0.0,2.0,441,1856,0.0,29.44,30.12,8.5,170,9.9,2007-05-07,2007,5,7,-0.984807753012208,0.17364817766693028,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1,82,54,68.0,12.0,58,62.0,0.0,3.0,439,1857,0.0,29.29,30.03,2.7,110,5.8,2007-05-08,2007,5,8,-0.3420201433256687,0.9396926207859084,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,2,80,60,70.0,12.0,57,63.0,0.0,5.0,439,1857,0.0,29.36,30.02,2.5,80,5.4,2007-05-08,2007,5,8,0.17364817766693041,0.984807753012208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,1,77,61,69.0,13.0,59,63.0,0.0,4.0,438,1858,0.13,29.21,29.94,3.9,90,6.2,2007-05-09,2007,5,9,6.123233995736766e-17,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
17,2,76,63,70.0,13.0,60,63.0,0.0,5.0,438,1858,0.02,29.28,29.93,3.9,70,5.9,2007-05-09,2007,5,9,0.3420201433256688,0.9396926207859083,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
18,1,84,56,70.0,14.0,52,60.0,0.0,5.0,437,1859,0.0,29.2,29.92,0.7,170,4.1,2007-05-10,2007,5,10,-0.984807753012208,0.17364817766693028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,2,83,59,71.0,14.0,52,61.0,0.0,6.0,437,1859,0.0,29.26,29.91,2.0,90,3.9,2007-05-10,2007,5,10,6.123233995736766e-17,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
20,1,70,51,61.0,4.0,42,51.0,4.0,0.0,436,1860,0.0,29.33,30.04,11.3,30,12.9,2007-05-11,2007,5,11,0.8660254037844387,0.49999999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,2,73,49,61.0,4.0,44,51.0,4.0,0.0,436,1860,0.0,29.39,30.03,11.7,360,12.8,2007-05-11,2007,5,11,1.0,-2.4492935982947064e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1,64,46,55.0,-2.0,36,46.0,10.0,0.0,435,1901,0.0,29.49,30.2,12.4,30,12.9,2007-05-12,2007,5,12,0.8660254037844387,0.49999999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,2,65,47,56.0,-2.0,37,46.0,9.0,0.0,435,1901,0.0,29.54,30.19,12.7,10,13.0,2007-05-12,2007,5,12,0.984807753012208,0.17364817766693033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1,69,43,56.0,-2.0,33,46.0,9.0,0.0,434,1902,0.0,29.49,30.24,6.6,140,8.1,2007-05-13,2007,5,13,-0.7660444431189779,0.6427876096865395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2,69,44,57.0,-2.0,32,46.0,8.0,0.0,434,1902,0.0,29.55,30.24,6.4,110,7.6,2007-05-13,2007,5,13,-0.3420201433256687,0.9396926207859084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,90,56,73.0,15.0,47,59.0,0.0,8.0,433,1903,0.0,29.23,29.97,16.9,210,17.3,2007-05-14,2007,5,14,-0.8660254037844386,-0.5000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,2,90,54,72.0,15.0,45,58.0,0.0,7.0,433,1903,0.0,29.31,29.98,14.1,210,14.6,2007-05-14,2007,5,14,-0.8660254037844386,-0.5000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,1,80,57,69.0,11.0,56,61.0,0.0,4.0,432,1904,0.38,29.13,29.84,8.1,270,12.3,2007-05-15,2007,5,15,-1.8369701987210297e-16,-1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
29,2,82,56,69.0,11.0,56,61.0,0.0,4.0,432,1904,0.6,29.19,29.83,8.1,250,10.8,2007-05-15,2007,5,15,-0.3420201433256694,-0.9396926207859082,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
30,1,66,44,55.0,-4.0,43,48.0,10.0,0.0,431,1905,0.14,29.33,30.03,7.8,360,12.2,2007-05-16,2007,5,16,1.0,-2.4492935982947064e-16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
31,2,64,45,55.0,-4.0,42,47.0,10.0,0.0,431,1905,0.07,29.39,30.03,8.0,360,11.8,2007-05-16,2007,5,16,1.0,-2.4492935982947064e-16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
32,1,62,43,53.0,-6.0,32,43.0,12.0,0.0,430,1906,0.0,29.55,30.27,10.5,30,11.3,2007-05-17,2007,5,17,0.8660254037844387,0.49999999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,61,44,53.0,-6.0,32,43.0,12.0,0.0,430,1906,0.0,29.62,30.27,11.7,10,12.2,2007-05-17,2007,5,17,0.984807753012208,0.17364817766693033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1,71,42,57.0,-3.0,30,46.0,8.0,0.0,429,1907,0.0,29.53,30.25,5.4,250,7.5,2007-05-18,2007,5,18,-0.3420201433256694,-0.9396926207859082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,70,43,57.0,-3.0,31,47.0,8.0,0.0,429,1907,0.0,29.6,30.26,3.4,220,5.5,2007-05-18,2007,5,18,-0.766044443118978,-0.6427876096865393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1,80,56,68.0,8.0,39,53.0,0.0,3.0,428,1908,0.0,29.34,30.08,11.1,240,11.4,2007-05-19,2007,5,19,-0.5000000000000004,-0.8660254037844385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2,80,56,68.0,8.0,37,53.0,0.0,3.0,428,1908,0.0,29.41,30.08,11.1,230,11.4,2007-05-19,2007,5,19,-0.6427876096865395,-0.7660444431189779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,1,69,43,56.0,-5.0,40,44.0,9.0,0.0,427,1909,0.07,29.38,30.11,10.4,40,10.7,2007-05-20,2007,5,20,0.766044443118978,0.6427876096865393,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
39,2,69,44,57.0,-5.0,41,45.0,8.0,0.0,427,1909,0.11,29.44,30.11,8.6,30,9.7,2007-05-20,2007,5,20,0.8660254037844387,0.49999999999999994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,1,80,44,62.0,1.0,50,56.0,3.0,0.0,426,1910,0.0,29.33,30.06,6.3,110,8.2,2007-05-21,2007,5,21,-0.3420201433256687,0.9396926207859084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2,79,46,63.0,1.0,50,57.0,2.0,0.0,426,1910,0.0,29.39,30.05,6.3,100,7.8,2007-05-21,2007,5,21,-0.1736481776669303,0.984807753012208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,1,87,55,71.0,10.0,46,58.0,0.0,6.0,425,1911,0.0,29.34,30.06,10.0,180,10.2,2007-05-22,2007,5,22,-1.0,1.2246467991473532e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,2,87,60,74.0,10.0,44,58.0,0.0,9.0,425,1911,0.0,29.41,30.05,10.1,160,10.6,2007-05-22,2007,5,22,-0.9396926207859083,0.3420201433256689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1,89,60,75.0,14.0,49,61.0,0.0,10.0,425,1912,0.0,29.39,30.1,11.4,190,11.8,2007-05-23,2007,5,23,-0.984807753012208,-0.17364817766693047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2,89,66,78.0,14.0,48,61.0,0.0,13.0,425,1912,0.0,29.47,30.1,10.9,180,11.2,2007-05-23,2007,5,23,-1.0,1.2246467991473532e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1,88,63,76.0,14.0,54,63.0,0.0,11.0,424,1913,0.02,29.41,30.11,14.9,210,17.3,2007-05-24,2007,5,24,-0.8660254037844386,-0.5000000000000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
47,2,88,66,77.0,14.0,53,63.0,0.0,12.0,424,1913,0.0,29.47,30.1,13.8,200,15.2,2007-05-24,2007,5,24,-0.9396926207859084,-0.34202014332566866,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
48,1,70,56,63.0,1.0,44,53.0,2.0,0.0,423,1914,0.0,29.51,30.24,4.9,50,8.8,2007-05-25,2007,5,25,0.6427876096865394,0.766044443118978,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,2,66,57,62.0,1.0,46,53.0,3.0,0.0,423,1914,0.09,29.57,30.23,4.5,50,8.2,2007-05-25,2007,5,25,0.6427876096865394,0.766044443118978,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
50,1,65,49,57.0,-5.0,55,56.0,8.0,0.0,422,1915,1.01,29.36,30.11,2.8,170,7.2,2007-05-26,2007,5,26,-0.984807753012208,0.17364817766693028,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
51,2,70,50,60.0,-5.0,55,57.0,5.0,0.0,422,1915,0.28,29.42,30.1,2.5,150,7.8,2007-05-26,2007,5,26,-0.8660254037844387,0.49999999999999994,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
52,1,75,57,66.0,4.0,47,56.0,0.0,1.0,422,1916,0.04,29.34,30.06,8.9,260,9.5,2007-05-27,2007,5,27,-0.17364817766693033,-0.984807753012208,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
53,2,75,59,67.0,4.0,49,57.0,0.0,2.0,422,1916,0.08,29.41,30.05,8.2,240,9.2,2007-05-27,2007,5,27,-0.5000000000000004,-0.8660254037844385,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
54,1,79,50,65.0,2.0,47,56.0,0.0,0.0,421,1916,0.0,29.43,30.15,4.8,100,5.3,2007-05-28,2007,5,28,-0.1736481776669303,0.984807753012208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,2,76,54,65.0,2.0,49,57.0,0.0,0.0,421,1916,0.0,29.49,30.14,4.7,80,5.2,2007-05-28,2007,5,28,0.17364817766693041,0.984807753012208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,1,88,60,74.0,10.0,58,65.0,0.0,9.0,421,1917,0.0,29.39,30.11,5.8,180,6.5,2007-05-29,2007,5,29,-1.0,1.2246467991473532e-16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
57,2,88,65,77.0,10.0,59,66.0,0.0,12.0,421,1917,0.0,29.44,30.09,5.8,160,7.4,2007-05-29,2007,5,29,-0.9396926207859083,0.3420201433256689,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
58,1,87,66,77.0,13.0,58,65.0,0.0,12.0,420,1918,0.0,29.31,30.04,10.3,190,10.6,2007-05-30,2007,5,30,-0.984807753012208,-0.17364817766693047,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,2,89,70,80.0,13.0,57,66.0,0.0,15.0,420,1918,0.0,29.38,30.03,9.7,170,10.1,2007-05-30,2007,5,30,-0.984807753012208,0.17364817766693028,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,1,78,65,72.0,8.0,61,65.0,0.0,7.0,420,1919,0.01,29.28,30.0,9.3,190,9.9,2007-05-31,2007,5,31,-0.984807753012208,-0.17364817766693047,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
61,2,80,68,74.0,8.0,61,66.0,0.0,9.0,420,1919,0.53,29.34,29.99,8.9,180,9.2,2007-05-31,2007,5,31,-1.0,1.2246467991473532e-16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
62,1,85,62,74.0,10.0,63,66.0,0.0,9.0,419,1920,0.19,29.19,29.91,4.2,170,6.4,2007-06-01,2007,6,1,-0.984807753012208,0.17364817766693028,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
63,2,86,67,77.0,10.0,63,67.0,0.0,12.0,419,1920,0.21,29.25,29.9,4.7,160,5.8,2007-06-01,2007,6,1,-0.9396926207859083,0.3420201433256689,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
64,1,81,65,73.0,9.0,63,67.0,0.0,8.0,419,1920,0.04,29.03,29.77,6.5,220,7.4,2007-06-02,2007,6,2,-0.766044443118978,-0.6427876096865393,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
65,2,81,68,75.0,9.0,62,67.0,0.0,10.0,419,1920,0.0,29.1,29.76,7.5,210,8.2,2007-06-02,2007,6,2,-0.8660254037844386,-0.5000000000000001,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
66,1,78,62,70.0,6.0,60,63.0,0.0,5.0,418,1921,0.01,28.82,29.56,5.2,250,6.7,2007-06-03,2007,6,3,-0.3420201433256694,-0.9396926207859082,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
67,2,77,64,71.0,6.0,60,64.0,0.0,6.0,418,1921,0.32,28.87,29.54,4.9,240,7.2,2007-06-03,2007,6,3,-0.5000000000000004,-0.8660254037844385,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
68,1,71,58,65.0,1.0,58,60.0,0.0,0.0,418,1922,0.39,28.82,29.52,7.8,310,9.7,2007-06-04,2007,6,4,0.6427876096865393,-0.7660444431189781,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
69,2,72,56,64.0,1.0,57,60.0,1.0,0.0,418,1922,0.31,28.88,29.51,7.9,300,10.1,2007-06-04,2007,6,4,0.5000000000000001,-0.8660254037844386,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
70,1,64,47,56.0,-9.0,48,51.0,9.0,0.0,417,1923,0.42,29.1,29.79,5.2,50,7.6,2007-06-05,2007,6,5,0.6427876096865394,0.766044443118978,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
71,2,63,51,57.0,-9.0,47,52.0,8.0,0.0,417,1923,0.27,29.16,29.78,6.2,30,8.1,2007-06-05,2007,6,5,0.8660254037844387,0.49999999999999994,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,1,71,44,58.0,-8.0,48,55.0,7.0,0.0,417,1923,0.01,29.07,29.81,10.8,170,11.4,2007-06-06,2007,6,6,-0.984807753012208,0.17364817766693028,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,2,73,48,61.0,-8.0,47,55.0,4.0,0.0,417,1923,0.0,29.13,29.82,9.6,150,10.6,2007-06-06,2007,6,6,-0.8660254037844387,0.49999999999999994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,1,91,71,81.0,15.0,62,69.0,0.0,16.0,417,1924,0.0,28.84,29.55,22.7,200,23.1,2007-06-07,2007,6,7,-0.9396926207859084,-0.34202014332566866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,2,92,71,82.0,15.0,61,68.0,0.0,17.0,417,1924,0.0,28.91,29.55,20.3,190,20.7,2007-06-07,2007,6,7,-0.984807753012208,-0.17364817766693047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,1,81,57,69.0,3.0,53,61.0,0.0,4.0,417,1925,0.0,29.18,29.85,10.9,280,13.8,2007-06-08,2007,6,8,0.17364817766692997,-0.9848077530122081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,2,81,63,72.0,3.0,54,62.0,0.0,7.0,417,1925,0.0,29.24,29.83,9.3,260,12.4,2007-06-08,2007,6,8,-0.17364817766693033,-0.984807753012208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,1,79,52,66.0,0.0,47,57.0,0.0,1.0,416,1925,0.0,29.36,30.07,0.3,330,5.0,2007-06-09,2007,6,9,0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,2,79,57,68.0,0.0,49,58.0,0.0,3.0,416,1925,0.0,29.42,30.05,2.4,190,4.7,2007-06-09,2007,6,9,-0.984807753012208,-0.17364817766693047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,1,81,55,68.0,1.0,51,59.0,0.0,3.0,416,1926,0.0,29.34,30.05,4.8,170,5.6,2007-06-10,2007,6,10,-0.984807753012208,0.17364817766693028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,2,81,61,71.0,1.0,50,60.0,0.0,6.0,416,1926,0.0,29.39,30.04,4.6,160,5.8,2007-06-10,2007,6,10,-0.9396926207859083,0.3420201433256689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,1,86,58,72.0,5.0,52,61.0,0.0,7.0,416,1926,0.0,29.41,30.11,4.9,110,6.9,2007-06-11,2007,6,11,-0.3420201433256687,0.9396926207859084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,2,85,65,75.0,5.0,51,61.0,0.0,10.0,416,1926,0.0,29.47,30.09,6.6,90,8.4,2007-06-11,2007,6,11,6.123233995736766e-17,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,1,83,62,73.0,5.0,50,60.0,0.0,8.0,416,1927,0.0,29.44,30.16,8.3,50,8.8,2007-06-12,2007,6,12,0.6427876096865394,0.766044443118978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,2,82,66,74.0,5.0,51,61.0,0.0,9.0,416,1927,0.0,29.49,30.14,9.4,50,10.0,2007-06-12,2007,6,12,0.6427876096865394,0.766044443118978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,87,60,74.0,6.0,53,62.0,0.0,9.0,416,1927,0.0,29.36,30.09,7.2,50,8.6,2007-06-13,2007,6,13,0.6427876096865394,0.766044443118978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,2,86,68,77.0,6.0,53,62.0,0.0,12.0,416,1927,0.0,29.36,30.09,7.0,50,8.6,2007-06-13,2007,6,13,0.6427876096865394,0.766044443118978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,1,89,64,77.0,9.0,55,64.0,0.0,12.0,416,1928,0.0,29.3,30.02,5.6,50,6.8,2007-06-14,2007,6,14,0.6427876096865394,0.766044443118978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,2,89,68,79.0,9.0,54,63.0,0.0,14.0,416,1928,0.0,29.36,30.0,5.9,70,6.4,2007-06-14,2007,6,14,0.3420201433256688,0.9396926207859083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,1,91,63,77.0,9.0,56,64.0,0.0,12.0,416,1928,0.0,29.28,29.99,4.1,60,4.9,2007-06-15,2007,6,15,0.5000000000000001,0.8660254037844386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,2,89,67,78.0,9.0,56,65.0,0.0,13.0,416,1928,0.0,29.34,29.97,3.8,90,4.1,2007-06-15,2007,6,15,6.123233995736766e-17,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,1,93,66,80.0,11.0,60,67.0,0.0,15.0,416,1929,0.0,29.26,29.97,4.8,280,5.8,2007-06-16,2007,6,16,0.17364817766692997,-0.9848077530122081,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
93,2,92,68,80.0,11.0,61,68.0,0.0,15.0,416,1929,0.0,29.33,29.96,2.1,220,6.1,2007-06-16,2007,6,16,-0.766044443118978,-0.6427876096865393,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94,1,91,70,81.0,12.0,64,70.0,0.0,16.0,416,1929,0.0,29.23,29.95,2.8,110,6.3,2007-06-17,2007,6,17,-0.3420201433256687,0.9396926207859084,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,2,91,71,81.0,12.0,65,70.0,0.0,16.0,416,1929,0.16,29.28,29.93,4.0,110,6.1,2007-06-17,2007,6,17,-0.3420201433256687,0.9396926207859084,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,1,89,69,79.0,9.0,65,70.0,0.0,14.0,416,1929,0.28,29.12,29.84,14.0,200,15.1,2007-06-18,2007,6,18,-0.9396926207859084,-0.34202014332566866,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
97,2,89,73,81.0,9.0,65,70.0,0.0,16.0,416,1929,0.02,29.19,29.83,12.2,200,12.6,2007-06-18,2007,6,18,-0.9396926207859084,-0.34202014332566866,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
98,1,80,65,73.0,3.0,55,63.0,0.0,8.0,416,1930,0.58,29.26,29.95,10.7,280,11.4,2007-06-19,2007,6,19,0.17364817766692997,-0.9848077530122081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,2,81,65,73.0,3.0,55,63.0,0.0,8.0,416,1930,0.93,29.31,29.93,10.1,290,11.3,2007-06-19,2007,6,19,0.34202014332566816,-0.9396926207859085,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
100,1,84,61,73.0,3.0,52,61.0,0.0,8.0,416,1930,0.0,29.39,30.1,7.8,270,8.8,2007-06-20,2007,6,20,-1.8369701987210297e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,2,85,62,74.0,3.0,50,61.0,0.0,9.0,416,1930,0.0,29.46,30.09,5.9,280,7.7,2007-06-20,2007,6,20,0.17364817766692997,-0.9848077530122081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,1,77,61,69.0,-1.0,51,60.0,0.0,4.0,416,1930,0.01,29.36,30.08,3.5,30,10.7,2007-06-21,2007,6,21,0.8660254037844387,0.49999999999999994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,2,80,66,73.0,-1.0,51,61.0,0.0,8.0,416,1930,0.0,29.41,30.06,3.7,20,9.6,2007-06-21,2007,6,21,0.9396926207859084,0.3420201433256687,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,1,76,61,69.0,-1.0,50,58.0,0.0,4.0,417,1931,0.0,29.33,30.06,7.8,60,8.7,2007-06-22,2007,6,22,0.5000000000000001,0.8660254037844386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,2,75,62,69.0,-1.0,49,58.0,0.0,4.0,417,1931,0.0,29.39,30.05,6.5,70,8.1,2007-06-22,2007,6,22,0.3420201433256688,0.9396926207859083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,1,67,62,65.0,-5.0,58,61.0,0.0,0.0,417,1931,0.05,29.23,29.96,7.6,120,9.0,2007-06-23,2007,6,23,-0.4999999999999998,0.8660254037844387,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
107,2,68,61,65.0,-5.0,60,62.0,0.0,0.0,417,1931,0.34,29.28,29.95,7.3,110,8.1,2007-06-23,2007,6,23,-0.3420201433256687,0.9396926207859084,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
108,1,77,63,70.0,-1.0,62,65.0,0.0,5.0,417,1931,0.0,29.26,29.97,7.0,90,8.0,2007-06-24,2007,6,24,6.123233995736766e-17,1.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
109,2,75,65,70.0,-1.0,62,65.0,0.0,5.0,417,1931,0.0,29.33,29.96,5.6,100,6.0,2007-06-24,2007,6,24,-0.1736481776669303,0.984807753012208,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
110,1,89,65,77.0,6.0,66,70.0,0.0,12.0,417,1931,0.0,29.38,30.07,3.9,140,6.8,2007-06-25,2007,6,25,-0.7660444431189779,0.6427876096865395,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
111,2,86,67,77.0,6.0,67,70.0,0.0,12.0,417,1931,0.0,29.44,30.06,4.0,120,5.9,2007-06-25,2007,6,25,-0.4999999999999998,0.8660254037844387,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
112,1,92,70,81.0,10.0,69,72.0,0.0,16.0,418,1931,0.16,29.39,30.11,6.1,220,7.1,2007-06-26,2007,6,26,-0.766044443118978,-0.6427876096865393,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
113,2,91,73,82.0,10.0,69,72.0,0.0,17.0,418,1931,0.0,29.45,30.09,7.3,210,8.1,2007-06-26,2007,6,26,-0.8660254037844386,-0.5000000000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
